idx,date,area,dayAvgRhm,dayAvgTa,dayAvgWs,dayMaxTa,dayMinRhm,daySumRn,daySumSs,paCropName,paCropSpeId
279,2017-10-01,평택,87,16,1,19,67,6,0,무,PA130401
280,2017-10-21,평택,68,15,1,24,30,0,0,무,PA130401
281,,,0,0,0,0,0,0,0,,
282,2017-10-18,평택,67,15,1,20,48,0,0,무,PA130401
283,2017-10-28,평택,62,16,1,25,26,0,0,무,PA130401
284,,,0,0,0,0,0,0,0,,
285,2017-10-20,평택,69,15,1,24,31,0,0,무,PA130401
286,2017-10-26,평택,66,13,1,19,34,0,0,무,PA130401
287,2017-10-07,평택,79,20,0,26,54,0,0,무,PA130401
288,2017-10-09,평택,78,21,1,27,51,0,0,무,PA130401
289,,,0,0,0,0,0,0,0,,
290,2017-10-05,평택,65,18,2,22,49,0,0,무,PA130401
291,2017-10-02,평택,79,20,1,28,52,5,0,무,PA130401
292,2017-10-03,평택,61,17,1,20,48,0,0,무,PA130401
293,2017-10-24,평택,67,12,1,20,35,0,0,무,PA130401
294,2017-10-15,평택,58,15,1,22,36,0,0,무,PA130401
295,2017-10-10,평택,83,21,0,26,56,0,0,무,PA130401
296,2017-10-04,평택,65,16,1,23,47,0,0,무,PA130401
297,2017-10-12,평택,76,12,1,13,64,0,0,무,PA130401
298,2017-10-17,평택,69,15,1,23,30,0,0,무,PA130401
299,2017-10-25,평택,73,12,1,19,43,0,0,무,PA130401
300,2017-10-13,평택,76,10,1,17,34,0,0,무,PA130401
301,2017-10-31,평택,67,8,1,16,34,0,0,무,PA130401
302,2017-10-19,평택,65,16,1,23,32,0,0,무,PA130401
303,2017-10-14,평택,62,13,1,21,23,0,0,무,PA130401
304,2017-10-29,평택,58,11,3,17,32,0,0,무,PA130401
305,,,0,0,0,0,0,0,0,,
306,2017-10-27,평택,66,15,0,23,24,0,0,무,PA130401
307,2017-10-06,평택,73,17,1,22,57,0,0,무,PA130401
308,,,0,0,0,0,0,0,0,,
309,2017-10-23,평택,58,12,1,20,32,0,0,무,PA130401
310,2017-11-20,평택,67,1,1,7,28,0,0,무,PA130401
311,2017-11-04,평택,58,7,2,13,41,0,0,무,PA130401
312,2017-11-21,평택,72,0,0,7,36,0,0,무,PA130401
313,2017-11-06,평택,74,8,1,16,44,0,0,무,PA130401
314,2017-11-07,평택,70,13,1,21,42,0,0,무,PA130401
315,2017-11-08,평택,65,13,2,17,27,0,0,무,PA130401
316,,,0,0,0,0,0,0,0,,
317,2017-11-13,평택,69,7,1,12,45,0,0,무,PA130401
318,2017-11-18,평택,41,0,3,4,24,0,0,무,PA130401
319,2017-11-25,평택,77,4,2,11,56,13,0,무,PA130401
320,2017-11-22,평택,65,4,2,11,47,1,0,무,PA130401
321,2017-11-14,평택,49,8,2,12,25,0,0,무,PA130401
322,,,0,0,0,0,0,0,0,,
323,2017-11-23,평택,72,0,1,5,42,1,0,무,PA130401
324,2017-11-03,평택,73,10,2,16,46,0,0,무,PA130401
325,2017-11-12,평택,70,4,1,11,28,0,0,무,PA130401
326,2017-11-24,평택,85,0,1,2,46,6,0,무,PA130401
327,2017-11-10,평택,65,9,2,17,44,4,0,무,PA130401
328,2017-11-09,평택,57,8,1,16,23,0,0,무,PA130401
